ID,Survey Category (Expanded),Survey Category,Compliance Asset Id
1,Household Survey,HHS,
2,Administrative Data,ADD,
3,School-based Survey,SBS,
4,Research Study,RCS,
5,Other Survey,OTH,
6,Facility Survey,FAC,
7,Household and Facility Survey,HHS_FAC,
8,Census,CEN,
9,Report,REP,
10,Monitoring Platform,MNPM,
11,Household and Market Survey,HHS_MKS,
12,Market Survey,MKS,
13,School-based and Facility Survey,SBS_FAC,
14,Household and School-based Survey,HHS_SBS,
15,Street Survey,STR,
16,Household and Street Survey,HHS_STR,
17,School-based and Market Survey,SBS_MKS,
18,Telephone Survey,TS,
